Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Nop1/ExMemory 1,9.194695942179804e-7,9.016514484861924e-7,9.582086325870734e-7,6.770697005120425e-8,5.297983858113301e-8,9.25294415314677e-8
Nop2/ExMemory 1/ExMemory 1,1.1774288879691973e-6,1.1406653629282313e-6,1.2362498594212511e-6,1.526966324423077e-7,1.1432353250907613e-7,2.1562867607734675e-7
Nop3/ExMemory 1/ExMemory 1/ExMemory 1,1.2726346069603349e-6,1.252266188355108e-6,1.3016529983110884e-6,8.600772110430426e-8,5.588409391181153e-8,1.3022393201159928e-7
AddInteger/ExMemory 1/ExMemory 1,1.7392254676453512e-6,1.6703798752367886e-6,1.8136506165207778e-6,2.6068317600585184e-7,2.245598600128417e-7,3.3362966120707985e-7
AddInteger/ExMemory 1/ExMemory 3,1.1240320526233849e-6,1.1220184888532283e-6,1.127519800024435e-6,7.532109893224444e-9,5.664859592968871e-9,1.0779642856932613e-8
AddInteger/ExMemory 1/ExMemory 5,1.4417562353616757e-6,1.3667731968977524e-6,1.5165498770568291e-6,2.589822438082045e-7,2.1896741312052174e-7,3.0222471825043363e-7
AddInteger/ExMemory 1/ExMemory 7,1.493823917408282e-6,1.4490258275631649e-6,1.5357954339487652e-6,1.5359667665071293e-7,1.1565681947969587e-7,2.077111179578727e-7
AddInteger/ExMemory 1/ExMemory 9,1.6060192248660512e-6,1.5558147747643316e-6,1.7086882271014487e-6,2.3537392225205105e-7,1.6292603109990798e-7,3.666694763769065e-7
AddInteger/ExMemory 1/ExMemory 11,1.5677370711936088e-6,1.5177167393929167e-6,1.618484619174665e-6,1.7573166954669925e-7,1.4577322871264532e-7,2.200938724022457e-7
AddInteger/ExMemory 1/ExMemory 13,1.498371273889985e-6,1.457376972200146e-6,1.5831489070056063e-6,1.8749007594914502e-7,1.2185284524263592e-7,3.368088982711016e-7
AddInteger/ExMemory 1/ExMemory 15,1.160982148249587e-6,1.1462515780566892e-6,1.1914417676954864e-6,7.522057807196196e-8,4.790779537674464e-8,1.1018462695131075e-7
AddInteger/ExMemory 1/ExMemory 17,1.5488122718454173e-6,1.4914362830138103e-6,1.6434694947333352e-6,2.572470316574391e-7,2.1447793518445143e-7,3.4803300127544877e-7
AddInteger/ExMemory 1/ExMemory 19,1.3174525633385382e-6,1.2626543858666407e-6,1.389999035061137e-6,2.1044156659723148e-7,1.7284979828215382e-7,2.73115881039003e-7
AddInteger/ExMemory 1/ExMemory 21,1.32097113197514e-6,1.2057766536184398e-6,1.6812793528954576e-6,6.313746062586513e-7,1.656826791212065e-7,1.1513132170734662e-6
AddInteger/ExMemory 1/ExMemory 23,1.4879033080482897e-6,1.4574243936539773e-6,1.5333839011159041e-6,1.258951519701377e-7,8.250299647078407e-8,1.8754118414260036e-7
